Std Cernox: X115076 (Ohms),X103226 (Ohms),X111705 (Ohms)
132.166947,226.9883124,224.2252454
133.639657,229.7526923,227.156377
135.1439166,232.5942719,230.1753241
136.7083264,235.5162195,233.2849445
138.2890076,238.493031,236.461217
139.8865332,241.4997443,239.6746216
141.533208,244.6131781,243.0087506
143.228877,247.8122235,246.429549
144.9572711,251.0820026,249.9423773
146.7594788,254.4782404,253.596369
148.5948883,257.9585718,257.337168
150.4798975,261.5271387,261.1892285
152.5487531,265.4600159,265.4319641
154.5613013,269.2788879,269.5655823
156.5855078,273.1287708,273.7345654
158.6655768,277.0750061,278.0185144
160.7908142,281.1235889,282.4257996
162.9693616,285.2857056,286.960647
165.2153827,289.5565125,291.6295752
167.5176654,293.9707971,296.4631714
169.9160095,298.5574622,301.4853174
172.3726367,303.2605322,306.6583472
174.9175354,308.1418201,312.0312
177.5483307,313.1942065,317.595498
180.2414008,318.3977014,323.3422852
183.0703644,323.8296716,329.3535059
185.9715588,329.4142505,335.5728149
188.9656763,335.1842114,341.9778406
192.0592615,341.1565466,348.6519275
195.2531738,347.3666858,355.5875879
198.5701416,353.7973657,362.7991626
202.0088068,360.4618787,370.290144
205.5742987,367.3898596,378.1022253
209.2819733,374.607019,386.2466455
213.1265607,382.1023987,394.7377954
217.119704,389.9031787,403.5848291
221.2828986,398.0440857,412.8635217
225.6209387,406.5478174,422.5597363
230.1349451,415.4185645,432.7189758
234.82935,424.6458423,443.3168555
239.7755609,434.4030261,454.5414453
244.9388031,444.588634,466.3079065
250.3409283,455.2727966,478.6934692
256.0072095,466.5158435,491.7570398
261.9495923,478.3236951,505.52224
268.1848901,490.7520593,520.0684692
274.7639136,503.8840149,535.4879224
281.705592,517.78677,551.8656494
289.0277295,532.4905347,569.2555322
296.7701245,548.0395947,587.7468213
304.9832312,564.6188354,607.5124512
313.701001,582.2742383,628.6311743
322.9724329,601.1378613,651.3082104
332.8778271,621.3173438,675.6723267
343.4786279,643.0259619,701.9995728
354.8287109,666.3453076,730.428479
367.0220422,691.4705933,761.246936
380.1661975,718.7661694,794.8289087
394.359342,748.3138843,831.4091724
409.7611243,780.5999097,871.5783447
426.7254236,816.328457,916.350813
445.3009204,855.7291162,965.9335449
465.7058875,899.2845972,1021.181831
488.4119922,948.110542,1083.477339
513.8661499,1003.264326,1154.305166
542.7082617,1066.291719,1236.033179
575.6155371,1138.958853,1330.938218
614.0236011,1224.882007,1443.906626
659.3986548,1327.530239,1580.201807
714.1676978,1453.356675,1749.010371
782.2099536,1612.645903,1964.815586
870.3631592,1823.261533,2253.50127
870.1718921,1822.830205,2252.973486
908.4581738,1915.743325,2381.700381
949.149668,2015.792808,2520.728301
992.360083,2122.7975,2670.410771
1038.367305,2237.924697,2832.451201
1087.160874,2361.620234,3007.546426
1139.295996,2494.993418,3197.284014
1195.954604,2641.690439,3407.344834
1255.002227,2796.939883,3630.88916
1319.341162,2967.751182,3878.616582
1387.627725,3151.620391,4146.88373
1461.505127,3352.786797,4442.135176
1540.972354,3572.883838,4767.463359
1626.738574,3813.252881,5125.244277
1718.704185,4074.705732,5517.025117
1818.290225,4363.203711,5952.370469
1928.584063,4687.365391,6445.479629
2048.505903,5045.742227,6994.583281
2177.941875,5439.421543,7602.451523
2318.535791,5874.809668,8280.405938
2473.511748,6364.335684,9048.034805
2644.180713,6913.300293,9917.026758
2831.270352,7527.753086,10897.66805
3038.013799,8221.351563,12014.88488
3266.455518,9004.818672,13287.82398
3518.570605,9888.396328,14737.44449
3801.270068,10903.88629,16420.55766
4121.511133,12083.03289,18393.65773
4479.012148,13435.06094,20679.89719
4874.537422,14970.40996,23305.48617
